id,nota_c1,nota_c2,nota_c3,nota_c4,nota_c5,nota_c1_gemma4,nota_c2_gemma4,nota_c3_gemma4,nota_c4_gemma4,nota_c5_gemma4,nota_c1_qwen2.5,nota_c2_qwen2.5,nota_c3_qwen2.5,nota_c4_qwen2.5,nota_c5_qwen2.5,nota_c1_qwen3,nota_c2_qwen3,nota_c3_qwen3,nota_c4_qwen3,nota_c5_qwen3,nota_c1_deepseek-r1,nota_c2_deepseek-r1,nota_c3_deepseek-r1,nota_c4_deepseek-r1,nota_c5_deepseek-r1
1,80,80,80,80,80,3,3,2,4,3,2,1,2,3,0,3,2,2,2,1,1,3,3,2,2
2,160,40,40,120,40,5,3,5,5,5,2,1,1,3,0,4,5,5,4,5,3,4,3,2,4
3,120,120,160,160,0,3,4,3,3,4,2,3,4,3,1,3,4,5,4,5,3,3,3,2,3
4,160,120,120,120,80,4,2,2,3,2,2,3,2,3,1,3,2,3,2,2,4,4,4,3,4
5,120,40,40,160,40,3,4,4,3,4,2,3,3,2,4,3,2,2,2,2,2,3,3,2,3
6,160,40,40,160,40,3,2,3,4,3,2,1,3,2,0,4,4,4,4,5,5,5,4,4,3
7,160,120,120,120,120,4,2,3,4,2,2,1,2,3,0,3,1,1,3,2,3,1,2,2,1
8,120,120,120,120,80,4,2,3,4,2,0,1,2,3,0,3,4,4,4,4,5,5,5,5,5
9,80,80,80,80,80,3,2,3,3,2,2,1,1,2,0,3,3,3,4,4,4,3,3,2,3
10,120,200,160,120,120,4,4,4,4,4,2,3,2,3,4,3,4,5,3,4,4,4,3,2,2
11,120,120,120,120,120,3,4,4,3,5,2,1,1,2,3,4,5,5,4,5,1,2,1,1,1
12,120,40,40,120,40,2,2,2,2,2,2,1,1,1,0,2,2,2,2,1,0,0,0,0,0
13,160,160,120,160,160,4,5,5,5,5,3,2,3,3,1,5,5,5,5,5,5,5,5,5,4
14,120,160,120,120,40,2,3,4,2,4,2,3,2,1,0,2,3,3,2,2,2,3,3,2,2
15,0,0,0,0,0,2,2,2,2,0,1,2,3,2,1,1,1,2,1,1,0,0,0,0,0
16,40,80,120,160,120,3,2,3,3,4,2,3,1,2,0,2,3,2,2,2,3,3,2,2,3
17,160,160,160,160,160,4,5,5,4,4,3,2,4,3,2,4,4,4,4,5,5,5,5,5,5
18,80,80,40,40,40,2,2,2,2,0,2,1,1,2,0,2,2,2,2,1,1,2,2,1,2
19,120,160,160,120,80,4,5,5,4,4,2,3,4,3,2,4,5,5,5,5,4,4,3,4,4
20,120,80,80,120,120,2,2,2,2,2,2,3,2,1,1,2,2,2,2,3,0,0,0,0,0
21,120,160,120,120,40,3,4,2,2,1,2,1,1,2,0,3,4,3,3,3,3,4,3,2,3
22,120,120,120,120,120,5,4,5,5,4,2,1,3,2,4,4,5,5,5,5,4,5,5,4,4
23,120,160,160,160,120,4,5,4,4,4,2,3,2,3,1,4,2,2,4,4,3,3,3,3,3
24,0,0,0,0,0,2,2,2,1,0,2,3,2,1,3,2,2,2,2,2,1,2,1,1,3
25,160,200,200,160,160,4,5,5,5,5,2,3,3,3,2,4,4,4,4,5,4,5,5,4,5
26,120,120,80,120,160,4,4,3,3,5,3,4,4,3,2,5,5,5,5,5,4,5,5,4,5
27,160,40,40,120,40,2,2,2,2,0,1,2,3,2,0,2,2,2,2,1,1,0,0,0,0
28,120,120,160,160,120,2,4,4,2,2,2,3,1,2,0,2,2,2,2,3,3,4,4,3,4
29,80,40,40,120,0,1,2,2,2,0,2,1,1,1,0,2,2,2,2,1,1,1,2,1,0
30,120,120,80,80,160,4,5,5,5,4,3,2,4,3,1,3,3,3,3,2,0,3,3,3,0
31,0,0,0,0,0,3,2,2,3,0,2,3,1,2,0,2,2,2,2,0,2,2,2,2,2
32,200,160,200,200,200,5,5,5,5,5,2,3,4,4,1,4,5,5,5,5,3,4,4,3,4
33,120,120,120,160,80,2,2,3,2,3,2,1,3,2,0,2,2,2,2,3,2,3,2,2,3
34,160,160,120,160,160,5,5,5,5,5,3,4,5,2,1,5,5,5,5,5,4,5,5,4,5
35,120,120,120,120,80,2,2,2,2,2,2,4,3,2,1,3,4,4,3,4,1,2,2,2,3
36,120,40,40,120,0,4,3,3,4,0,2,3,2,3,0,2,2,2,2,2,4,3,3,3,0
37,160,120,160,160,160,4,4,5,4,5,3,2,4,3,1,5,5,5,5,5,4,5,5,4,4
38,120,40,80,80,0,2,2,2,1,0,3,2,2,2,1,2,2,2,2,0,0,0,0,0,0
39,120,120,80,80,80,3,4,4,3,5,3,2,3,3,2,3,4,4,3,4,2,3,2,2,3
40,120,40,40,120,40,3,3,3,3,3,2,3,4,3,1,2,2,2,2,3,0,0,0,0,1
41,120,160,160,120,120,3,4,4,4,5,2,3,3,2,2,3,5,5,3,5,5,5,5,5,5
42,80,80,80,80,40,2,2,2,1,0,2,1,1,1,1,2,2,2,2,1,1,1,1,1,1
43,160,120,120,160,160,4,5,5,5,5,2,3,3,3,0,5,5,5,5,5,5,5,5,5,5
44,120,40,40,120,0,1,2,2,2,0,3,4,2,3,1,3,4,2,2,0,1,1,1,1,0
45,160,40,40,160,40,3,2,2,2,1,3,2,2,3,1,3,4,4,3,4,5,5,4,5,5
