,id,nota_total,nota_c1,nota_c2,nota_c3,nota_c4,nota_c5,n_verbos_e_pronomes_1ps,n_verbos_e_pronomes_1ps_tok,n_pron_dem,n_pron_dem_tok,n_enclises,n_enclises_tok,n_sentencas_mq_70,n_erros_gramatica,n_erros_gramatica_tok,n_erros_ortografia,n_erros_ortografia_tok,n_erros_estilo_num_sent,n_marcadores_discursivos,n_marcadores_discursivos_num_sent,flesch_score,tam_avg_silabas,n_tokens,similaridade_proposta_bertimbau,similaridade_proposta_albertina,similaridade_proposta_bertugues,numero_palavras_diferentes,tam_avg_sentencas_caracteres,variancia_tam_sentencas,n_substantivos,n_adjetivos,n_adverbios,n_conjuncoes,similaridade_direitos_humanos_bertimbau,similaridade_direitos_humanos_albertina,similaridade_direitos_humanos_bertugues,similaridade_tit_1_constituicao_bertimbau,similaridade_tit_1_constituicao_albertina,similaridade_tit_1_constituicao_bertugues
0,1,400,80,80,80,80,80,0,0.0,6,0.0117302052785923,0,0.0,10,2,0.0058651026392961,9,0.0263929618768328,0.0666666666666666,47,3.1333333333333333,49.18114414414417,2.121621621621621,341,0.9017845392227172,0.9850927591323853,0.9376858472824096,196,123.8,4283.885714285714,65,32,26,19,0.8320837020874023,0.965128481388092,0.8849842548370361,0.8112066984176636,0.9469395875930786,0.8764663934707642
1,2,400,160,40,40,120,40,0,0.0,1,0.0052770448548812,2,0.0052770448548812,10,0,0.0,3,0.0079155672823219,0.0833333333333333,44,3.6666666666666665,44.9554777070064,2.0859872611464967,379,0.8965364694595337,0.9842051863670348,0.913011372089386,194,166.75,11527.477272727272,66,22,23,24,0.8940237760543823,0.9705391526222228,0.9115238189697266,0.8670276403427124,0.9519720673561096,0.901081919670105
2,3,560,120,120,160,160,0,0,0.0,4,0.0055865921787709,2,0.0055865921787709,11,4,0.0111731843575419,2,0.0055865921787709,0.0833333333333333,48,4.0,38.41863095238099,2.168253968253968,358,0.9126904010772704,0.9835066199302672,0.9519509077072144,196,168.25,7231.113636363636,85,22,18,30,0.8617454767227173,0.9730810523033142,0.8985095620155334,0.8508657217025757,0.9553432464599608,0.8891640901565552
3,4,600,160,120,120,120,80,0,0.0,2,0.0093457943925233,1,0.0046728971962616,7,1,0.0046728971962616,0,0.0,0.0,25,3.125,41.92937500000002,2.15625,214,0.919986367225647,0.9856598973274232,0.945862889289856,124,153.625,3207.9821428571427,49,24,9,12,0.8456397652626038,0.9610037803649902,0.8826234340667725,0.8397511839866638,0.9461959600448608,0.8766070008277893
4,5,400,120,40,40,160,40,0,0.0,4,0.0132450331125827,1,0.0033112582781456,6,4,0.0132450331125827,1,0.0033112582781456,0.0,34,5.666666666666667,19.85088845654998,2.186770428015564,302,0.9159849286079408,0.9824848175048828,0.9372025728225708,153,281.3333333333333,4054.6666666666665,70,17,16,21,0.8571059703826904,0.9599617719650269,0.8732634782791138,0.8612384796142578,0.9493142366409302,0.889617383480072
5,6,440,160,40,40,160,40,0,0.0,3,0.0191570881226053,1,0.003831417624521,9,1,0.003831417624521,1,0.003831417624521,0.0,32,3.555555555555556,39.060993117010845,2.1769911504424777,261,0.8618760108947754,0.9702027440071106,0.8896510601043701,144,162.33333333333334,3702.75,58,19,8,14,0.846621572971344,0.961104929447174,0.8678795099258423,0.8386818170547485,0.9482386708259584,0.8794144988059998
6,7,640,160,120,120,120,120,0,0.0,2,0.0,0,0.0,7,0,0.0,1,0.0046948356807511,0.0,29,4.142857142857143,20.135000000000037,2.377659574468085,213,0.8415728807449341,0.962592601776123,0.8669553995132446,127,181.8571428571429,6659.476190476191,47,20,5,13,0.8099550008773804,0.9502240419387816,0.8541168570518494,0.7974029183387756,0.9353095293045044,0.8668800592422485
7,8,560,120,120,120,120,80,0,0.0,4,0.0051679586563307,1,0.0025839793281653,11,0,0.0,0,0.0,0.1538461538461538,43,3.3076923076923075,37.07950928381966,2.17816091954023,387,0.8907082080841064,0.9785544276237488,0.8978629112243652,182,171.69230769230768,9448.064102564103,97,32,19,17,0.856763482093811,0.9568797945976256,0.8907498717308044,0.8430520296096802,0.9425272941589355,0.8880509734153748
8,9,400,80,80,80,80,80,0,0.0,1,0.0,0,0.0,6,0,0.0,1,0.004524886877828,0.1666666666666666,27,4.5,48.63649659863948,1.9744897959183676,221,0.9305169582366944,0.9859693646430968,0.9462594985961914,125,197.83333333333331,3894.9666666666662,44,11,13,17,0.8436769247055054,0.9527627825737,0.8644564747810364,0.8184654712677002,0.9335131049156188,0.8565477132797241
9,10,720,120,200,160,120,120,0,0.0,10,0.0116618075801749,0,0.0,10,1,0.0029154518950437,1,0.0029154518950437,0.1,46,4.6,23.50675581395351,2.302325581395349,343,0.8671358227729797,0.9688193202018738,0.8740928769111633,179,201.1,9761.655555555555,84,17,12,19,0.8640033006668091,0.9644503593444824,0.8727632761001587,0.8497952222824097,0.9441053867340088,0.8740947246551514
